text,intent
llama a mi hija en mi cuarto,alerta
me dejas en paz cariño,rechazo
hazme recordar tomar la medicación dentro de media hora,recordatorio
buenas tardes por favor!,social
me siento solo si puedes!,social
déjalo en la agenda hacer la compra esta tarde que no se me pase,recordatorio
qué novedades hay en política paso a paso por favor,abierta
déjalo en la agenda tomar la medicación a las 9,recordatorio
me dejas en paz hija me duele la cabeza,rechazo
avísame de tomar la medicación a las 10 que suene fuerte,recordatorio
cómo renovar la receta electrónica ¿vale?,abierta
anímame un poco cuando te venga bien,social
pon la COPE gracias,social
hoy no tengo ganas por favor estoy viendo la tele,rechazo
me caí ahora mismo,alerta
llama a mi hijo por favor,alerta
explícame qué es la fibrilación auricular en Madrid,abierta
qué puedo hacer de cena en Madrid,abierta
apúntame ponerme las gotas esta tarde que suene fuerte,recordatorio
cómo se prepara un cocido para torpes,abierta
tengo fiebre cuando puedas en el baño,alerta
explícame qué es la fibrilación auricular paso a paso,abierta
cuéntame algo si puedes ¿vale?,social
me caí que vengan ya estoy en el salón,alerta
ponme flamenco,social
llama a mi hija si es posible estoy en el salón,alerta
hoy no tengo ganas estoy comiendo,rechazo
cuéntame algo si puedes por favor,social
pon una alarma para tomar las pastillas cuando acabe el telediario que no se me pase,recordatorio
me ahogo por favor en mi cuarto,alerta
me dejas en paz,rechazo
no me apetece gracias estoy comiendo,rechazo
ahora no por favor me duele la cabeza,rechazo
pon la COPE,social
no me encuentro bien por favor en mi cuarto,alerta
explícame qué es la fibrilación auricular paso a paso por favor,abierta
cómo hago una tortilla paso a paso,abierta
qué novedades hay en política,abierta
no me encuentro bien estoy en el salón,alerta
me encuentro mal si es posible en el baño,alerta
no me apetece quiero dormir,rechazo
anótame poner la insulina cada día a las 9 que suene fuerte,recordatorio
qué puedo hacer de cena en Madrid!,abierta
mejor más tarde cariño me duele la cabeza,rechazo
recuérdame beber agua esta tarde que suene fuerte,recordatorio
cómo hago una tortilla en mi barrio gracias,abierta
hola por favor.,social
pon la COPE por favor.,social
explícame qué es la fibrilación auricular por favor ¿vale?,abierta
cómo pedir cita con el médico,abierta
háblame un poco si puedes ¿vale?,social
buenas noches si puedes,social
déjame descansar,rechazo
me ahogo no me dejes solo en el pasillo,alerta
me siento sola cuando te venga bien por favor,social
qué novedades hay en política gracias,abierta
cómo hago una tortilla para torpes,abierta
no necesito nada hija estoy comiendo,rechazo
me sangra la nariz si es posible,alerta
no insistas cariño,rechazo
cómo pedir cita con el médico para torpes,abierta
qué puedo hacer de cena!,abierta
cómo hago una tortilla por favor,abierta
déjalo en la agenda tomar la medicación mañana por la mañana si puedes,recordatorio
cómo hago una tortilla en mi barrio,abierta
pon una alarma para tomar la medicación mañana por la mañana por favor,recordatorio
anótame llamar al médico esta noche por favor,recordatorio
buenas noches cuando te venga bien,social
tengo fiebre urgente en la cocina,alerta
llama al 112 que vengan ya en la cocina,alerta
explícame qué es la fibrilación auricular ¿vale?,abierta
va a llover hoy paso a paso,abierta
recuérdame medirme la tensión en una hora por favor,recordatorio
ponme flamenco cuando te venga bien,social
mejor más tarde gracias estoy viendo la tele,rechazo
prefiero que no por favor estoy comiendo,rechazo
anótame hacer la compra a las 9,recordatorio
me siento solo por favor,social
déjalo en la agenda tomar las pastillas mañana por la mañana si puedes,recordatorio
ponme las noticias paso a paso por favor,abierta
qué tiempo hará mañana paso a paso,abierta
pon una alarma para poner la insulina a las 9 que suene fuerte,recordatorio
háblame un poco por favor ¿vale?,social
explícame qué es la fibrilación auricular por favor gracias,abierta
déjalo en la agenda beber agua cuando acabe el telediario que no se me pase,recordatorio
necesito ayuda ahora mismo en el baño,alerta
ahora no gracias estoy comiendo,rechazo
qué tiempo hará mañana por favor ¿vale?,abierta
déjalo en la agenda ponerme las gotas cada día a las 9 si puedes,recordatorio
tengo fiebre urgente estoy en el salón,alerta
no quiero hablar ahora por favor estoy comiendo,rechazo
déjalo en la agenda tomar las pastillas a las 10 que suene fuerte,recordatorio
va a llover hoy en Madrid,abierta
me ahogo cuando puedas en mi cuarto,alerta
cómo renovar la receta electrónica en Madrid por favor,abierta
pon la radio ¿vale?,social
anímame un poco,social
ponme un recordatorio para poner la insulina a las 10 si puedes,recordatorio
cómo se prepara un cocido en mi barrio gracias,abierta
no quiero hablar ahora hijo quiero dormir,rechazo
llama a mi hija urgente en el pasillo,alerta
avísame de beber agua mañana por la mañana que no se me pase,recordatorio
necesito ayuda no me dejes solo,alerta
me dejas en paz hijo me duele la cabeza,rechazo
háblame un poco,social
estoy triste por favor,social
llama al médico urgente en la cocina,alerta
no quiero hablar ahora cariño estoy viendo la tele,rechazo
que no se me olvide llamar al médico a las 8 por favor,recordatorio
acuérdate de tomar las pastillas a las 9 si puedes,recordatorio
me dejas en paz por favor me duele la cabeza,rechazo
cómo hago una tortilla en mi barrio gracias,abierta
qué puedo hacer de cena.,abierta
pon la SER si puedes!,social
que no se me olvide cambiar el parche esta tarde por favor,recordatorio
me siento solo si puedes por favor,social
pon la COPE cuando te venga bien,social
no me apetece gracias me duele la cabeza,rechazo
mejor más tarde cariño,rechazo
me sangra la nariz en el baño,alerta
explícame qué es la fibrilación auricular para torpes,abierta
me caí no me dejes sola estoy en el salón,alerta
anótame tomar las pastillas a las 10 que no se me pase,recordatorio
estoy triste cuando te venga bien,social
buenas tardes por favor,social
no quiero hablar ahora me duele la cabeza,rechazo
hazme recordar hacer los ejercicios dentro de media hora que no se me pase,recordatorio
no me apetece hija estoy viendo la tele,rechazo
qué novedades hay en política para torpes gracias,abierta
cómo pedir cita con el médico,abierta
no puedo respirar bien que vengan ya,alerta
acuérdate de llamar al médico cuando acabe el telediario que suene fuerte,recordatorio
acuérdate de hacer los ejercicios esta noche que no se me pase,recordatorio
cómo hago una tortilla en Madrid,abierta
cómo pedir cita con el médico en Madrid,abierta
tengo fiebre cuando puedas estoy en el salón,alerta
me caí cuando puedas,alerta
me duele mucho no me dejes sola en el pasillo,alerta
avisa a la enfermera cuando puedas,alerta
ahora no gracias estoy viendo la tele,rechazo
hazme recordar poner la insulina en una hora,recordatorio
¿charlamos un rato? cuando te venga bien por favor,social
no me encuentro bien urgente en la cocina,alerta
me duele mucho cuando puedas en el pasillo,alerta
no necesito nada hija me duele la cabeza,rechazo
apúntame cambiar el parche cada día a las 9 por favor,recordatorio
ponme un recordatorio para beber agua mañana por la mañana que no se me pase,recordatorio
anímame un poco por favor ¿vale?,social
ponme las noticias para torpes gracias,abierta
llama al 112 no me dejes sola en la cocina,alerta
avísame de medirme la tensión a las 10 por favor,recordatorio
pon una alarma para poner la insulina cuando acabe el telediario,recordatorio
que no se me olvide tomar la medicación a las 10 que no se me pase,recordatorio
mejor más tarde cariño quiero dormir,rechazo
tengo fiebre no me dejes sola en el pasillo,alerta
qué puedo hacer de cena por favor gracias,abierta
hoy no tengo ganas gracias me duele la cabeza,rechazo
no puedo respirar bien si es posible en el baño,alerta
cómo pedir cita con el médico en Madrid!,abierta
cuéntame algo cuando te venga bien,social
pon la radio si puedes gracias,social
apúntame tomar las pastillas a las 9 por favor,recordatorio
avisa a la enfermera si es posible estoy en el salón,alerta
hazme recordar medirme la tensión a las 8 que no se me pase,recordatorio
acuérdate de cambiar el parche esta tarde por favor,recordatorio
me he caído cuando puedas en el pasillo,alerta
no puedo respirar bien que vengan ya en la cocina,alerta
apúntame beber agua en una hora por favor,recordatorio
va a llover hoy,abierta
me siento solo si puedes,social
avisa a la enfermera por favor en el pasillo,alerta
va a llover hoy para torpes,abierta
hola cuando te venga bien,social
estoy triste,social
anímame un poco por favor gracias,social
avísame de cambiar el parche a las 9 que no se me pase,recordatorio
déjalo en la agenda poner la insulina esta noche si puedes,recordatorio
me encuentro mal,alerta
avísame de beber agua a las 10,recordatorio
tengo fiebre por favor en el baño,alerta
necesito ayuda urgente estoy en el salón,alerta
no me encuentro bien cuando puedas en el pasillo,alerta
no me molestes gracias estoy viendo la tele,rechazo
buenas tardes por favor por favor,social
tengo fiebre no me dejes solo estoy en el salón,alerta
¿charlamos un rato? cuando te venga bien!,social
ahora no estoy viendo la tele,rechazo
llama a mi hija no me dejes sola estoy en el salón,alerta
ponme las noticias por favor!,abierta
ponme flamenco si puedes.,social
no puedo respirar bien urgente en mi cuarto,alerta
hazme recordar cambiar el parche esta tarde que suene fuerte,recordatorio
acuérdate de hacer la compra cada día a las 9 que no se me pase,recordatorio
buenas tardes!,social
cómo hago una tortilla ¿vale?,abierta
hoy no tengo ganas gracias estoy comiendo,rechazo
hazme recordar poner la insulina esta noche si puedes,recordatorio
me duele mucho no me dejes sola en mi cuarto,alerta
déjalo en la agenda medirme la tensión a las 9 si puedes,recordatorio
buenas tardes por favor.,social
ahora no hija estoy viendo la tele,rechazo
que no se me olvide beber agua a las 10 que suene fuerte,recordatorio
acuérdate de tomar la medicación a las 8 por favor,recordatorio
me siento solo por favor ¿vale?,social
pon la COPE si puedes!,social
recuérdame llamar al médico esta noche que suene fuerte,recordatorio
ponme las noticias por favor.,abierta
estoy triste,social
cómo pedir cita con el médico en Madrid,abierta
ponme un recordatorio para beber agua a las 10 por favor,recordatorio
mejor más tarde estoy comiendo,rechazo
pon la radio por favor,social
anímame un poco cuando te venga bien,social
mejor más tarde hijo,rechazo
me siento sola si puedes.,social
qué novedades hay en política paso a paso,abierta
llama a mi hija no me dejes solo estoy en el salón,alerta
llama a mi hija no me dejes solo en mi cuarto,alerta
me he caído ahora mismo en el baño,alerta
cómo renovar la receta electrónica por favor,abierta
qué novedades hay en política en Madrid!,abierta
anótame cambiar el parche dentro de media hora,recordatorio
pon música si puedes gracias,social
hoy no tengo ganas gracias,rechazo
va a llover hoy paso a paso ¿vale?,abierta
buenos días si puedes,social
hoy no tengo ganas estoy viendo la tele,rechazo
no me apetece hijo quiero dormir,rechazo
qué novedades hay en política por favor,abierta
pon una alarma para hacer la compra en una hora,recordatorio
hazme recordar beber agua en una hora que no se me pase,recordatorio
estoy triste cuando te venga bien.,social
pon la radio si puedes,social
qué puedo hacer de cena por favor,abierta
qué novedades hay en política por favor!,abierta
me he caído no me dejes solo en el pasillo,alerta
me sangra la nariz por favor estoy en el salón,alerta
no me molestes hija estoy viendo la tele,rechazo
me ahogo si es posible estoy en el salón,alerta
me encuentro mal urgente en mi cuarto,alerta
me siento sola si puedes,social
anótame medirme la tensión esta noche que no se me pase,recordatorio
no insistas cariño quiero dormir,rechazo
me ahogo urgente en el baño,alerta
cómo hago una tortilla,abierta
mejor más tarde hijo estoy comiendo,rechazo
llama al 112 cuando puedas en el baño,alerta
ponme las noticias por favor!,abierta
me duele mucho no me dejes sola estoy en el salón,alerta
buenas tardes,social
anótame llamar al médico a las 10 si puedes,recordatorio
déjame descansar hija quiero dormir,rechazo
no me apetece por favor,rechazo
me caí urgente en el pasillo,alerta
no necesito nada por favor estoy comiendo,rechazo
ponme las noticias gracias,abierta
anótame tomar la medicación dentro de media hora por favor,recordatorio
ahora no hijo,rechazo
prefiero que no gracias quiero dormir,rechazo
cómo se prepara un cocido paso a paso.,abierta
necesito ayuda ahora mismo en el pasillo,alerta
déjalo en la agenda hacer la compra en una hora,recordatorio
qué novedades hay en política en Madrid,abierta
qué tiempo hará mañana,abierta
pon música si puedes,social
anímame un poco si puedes!,social
hazme recordar cambiar el parche a las 10,recordatorio
me caí no me dejes sola en mi cuarto,alerta
me ahogo en mi cuarto,alerta
déjalo en la agenda medirme la tensión dentro de media hora,recordatorio
pon una alarma para cambiar el parche dentro de media hora que suene fuerte,recordatorio
apúntame llamar al médico en una hora si puedes,recordatorio
háblame un poco por favor,social
avísame de ponerme las gotas dentro de media hora por favor,recordatorio
ahora no cariño quiero dormir,rechazo
llama a mi hijo por favor en el pasillo,alerta
me dejas en paz hijo estoy comiendo,rechazo
hola por favor,social
no quiero hablar ahora hijo me duele la cabeza,rechazo
cómo hago una tortilla paso a paso gracias,abierta
cuéntame algo gracias,social
anótame beber agua dentro de media hora que suene fuerte,recordatorio
buenas tardes cuando te venga bien ¿vale?,social
pon la SER,social
pon la COPE cuando te venga bien.,social
me sangra la nariz estoy en el salón,alerta
tengo fiebre cuando puedas en mi cuarto,alerta
háblame un poco cuando te venga bien,social
pon una alarma para medirme la tensión esta noche por favor,recordatorio
anótame beber agua dentro de media hora,recordatorio
no me encuentro bien no me dejes solo en el baño,alerta
cómo renovar la receta electrónica,abierta
cómo pedir cita con el médico para torpes gracias,abierta
no quiero hablar ahora hijo,rechazo
cómo hago una tortilla en Madrid,abierta
cómo pedir cita con el médico por favor,abierta
llama a mi hija no me dejes solo en el pasillo,alerta
llama al médico urgente,alerta
va a llover hoy para torpes,abierta
ahora no por favor quiero dormir,rechazo
pon la radio cuando te venga bien,social
pon una alarma para cambiar el parche mañana por la mañana que no se me pase,recordatorio
me siento sola ¿vale?,social
cómo hago una tortilla!,abierta
ponme flamenco si puedes,social
no insistas hija me duele la cabeza,rechazo
